会计科目名称,计算科目,科目名称,科目,乘数,,,,科目名称查询,
税后损益率,a017,销货成本-工厂成本与业务成本差额-业务协议价差额,41019901,-0.36,,,,560125,管理费用-物料费
税后损益率,a017_fenzi,其他业务收入,5102,1,,,,56012501,管理费用-物料费-包装费
税后损益率,a017_fenzi,行政毛利分配(GMLB),89990902,1,,,,56012509,管理费用-物料费-其它物料费
税后损益率,a017_fenzi,研发毛利分配(RD),89990903,1,,,,560126,管理费用-燃料费
税后损益率,a017_fenzi,业务行政组毛利分配(YZ01),89990904,1,,,,56012601,管理费用-燃料费-汽油
税后损益率,a017_fenzi,销货成本-工厂成本与业务成本差额-幕僚管理费收入,41019902,1,,,,56012602,管理费用-燃料费-柴油
税后损益率,a017_fenzi,销货成本-工厂成本与业务成本差额-GMLA品牌费收入,41019903,1,,,,560127,管理费用-网络服务费用
税后损益率,a017_fenzi,销货成本-工厂成本与业务成本差额-生产库存差数,41019904,1,,,,560128,管理费用-劳动保护费
税后损益率,a017_fenzi,销货成本-工厂成本与业务成本差额-调整,41019905,1,,,,560129,管理费用-商标特许权使用费
税后损益率,a017_fenzi,营业外收入,7101,1,,,,560130,管理费用-开模费
税后损益率,a017_fenzi,投资损益,7301,1,,,,a560130,管理费用-开模费
税后损益率,a017_fenzi,以前年度损益调整,7901,1,,,,56013001,管理费用-开模费-工厂差价
税后损益率,a017_fenzi,其他业务成本,4102,-1,,,,56013002,管理费用-开模费-标准差价
税后损益率,a017_fenzi,主营业务税金及附加,4112,-1,,,,56013003,管理费用-开模费-管理开模
税后损益率,a017_fenzi,不予免抵退税额及进项税转出,4113,-1,,,,a56013001,管理费用-开模费-工厂差价
税后损益率,a017_fenzi,营业费用,5501,-1,,,,a56013002,管理费用-开模费-标准差价
税后损益率,a017_fenzi,研究发展费用,5701,-1,,,,a56013003,管理费用-开模费-管理开模
税后损益率,a017_fenzi,财务费用,5801,-1,,,,560131,管理费用-董事会费
税后损益率,a017_fenzi,管理费用,5601,-1,,,,560132,管理费用-工会经费
税后损益率,a017_fenzi,营业外支出,7201,-1,,,,560133,管理费用-展览费
税后损益率,a017_fenzi,所得税费用,8101,-1,,,,560134,管理费用-汽车费用
税后损益率,a017_fenmu,销货收入,5101,1,,,,560188,管理费用-其它费用
税后损益率,a017_fenmu,销货退回,5111,1,,,,560199,管理费用-异状费
税后损益率,a017_fenmu,销货折让,5121,1,,,,56019901,管理费用-异状费-产成品盘点损益
标准稼动-直接人工收入(80%),a018,标准稼动-人工收入,89990101,0.8,,,,56019902,管理费用-异状费-半成品盘点损益
实际扫描-人工收入,a019,制造费用-标准-直接人工,45000102,1,,,,56019903,管理费用-异状费-半制品盘点损益
实际扫描-人工收入,a019,制造费用-WIP-直接人工,45000202,1,,,,56019904,管理费用-异状费-原材料盘点损益
实际扫描-直接人工收入(80%),a020,制造费用-标准-直接人工,45000102,0.8,,,,56019905,管理费用-异状费-委托加工盘点损益
实际扫描-直接人工收入(80%),a020,制造费用-WIP-直接人工,45000202,0.8,,,,56019906,管理费用-异状费-包装物盘点损益
扫描-人工稼动率,a021_fenzi,制造费用-标准-直接人工,45000102,1,,,,56019907,管理费用-异状费-低值易耗品盘点损益
扫描-人工稼动率,a021_fenzi,制造费用-WIP-直接人工,45000202,1,,,,56019909,管理费用-异状费-外购盘点损益
扫描-人工稼动率,a021_fenmu,标准稼动-人工收入,89990101,1,,,,56019911,管理费用-异状费-产成品报废损失
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接技师-基本薪资,45010111,1,,,,56019912,管理费用-异状费-半成品报废损失
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接技师-加班费,45010112,1,,,,56019913,管理费用-异状费-半制品报废损失
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接技师-奖金,45010113,1,,,,56019914,管理费用-异状费-原材料报废损失
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接作业员-基本薪资,45010114,1,,,,56019915,管理费用-异状费-委托加工报废损失
制造费用-薪资支出-直接人工,a022,制造费用-薪资支出-直接作业员-加班费,45010115,1,,,,56019924,管理费用-异状费-替代品出货成本差异
